,codcliente,index
880,3456,5
881,3459,4.5
882,3460,0
883,3462,4.67
884,3465,3.25
885,3466,4.2
886,3473,4.4
887,3474,8.12
888,3489,3.8
889,3490,4.68
890,3494,3.25
891,3495,1
892,3506,0
893,3509,8.45
894,3511,0
895,3512,11.5
896,3514,0
897,3519,5.29
898,3527,16.25
899,3530,4.42
900,3541,12.4
901,3543,3.25
902,3544,3.67
903,3545,6.5
904,3550,4.33
905,3551,2.5
906,3557,7
907,3561,3.83
908,3563,0
909,3566,2.67
910,3568,0
911,3569,8.64
912,3572,4.96
913,3586,0
914,3588,0
915,3592,2.9
916,3594,2.8
917,3596,4.25
918,3597,5.2
919,3598,0
920,3599,5
921,3602,6.4
922,3606,0
923,3608,6.33
924,3612,0
925,3615,0
926,3617,5
927,3618,0
928,3624,3.43
929,3626,0
930,3628,4.35
931,3634,6.2
932,3635,5.09
933,3638,0
934,3639,3
935,3640,8.86
936,3643,2
937,3645,4.06
938,3646,4
939,3648,4.57
940,3650,6.5
941,3651,6.75
942,3652,5.38
943,3655,6
944,3656,4.92
945,3666,7
946,3667,3.38
947,3668,4.33
948,3683,4
949,3687,18
950,3688,6
951,3707,5.71
952,3708,3.67
953,3710,2.5
954,3711,15.33
955,3722,4.35
956,3726,3.79
957,3734,4.73
958,3742,10.71
959,3747,6.83
960,3749,7.67
961,3753,4
962,3755,8
963,3757,0
964,3758,0
965,3759,0
966,3760,0
967,3762,0
968,3763,2.9
969,3768,3.71
970,3773,9.8
971,3774,9
972,3776,8.47
973,3778,7.2
974,3784,0
975,3786,7.11
976,3793,4.91
977,3798,7.5
978,3806,7.83
979,3808,0
980,3810,0
981,3811,4.25
982,3814,0
983,3820,4
984,3823,1
985,3824,5.4
986,3825,5.33
987,3826,6.67
988,3830,3.67
989,3845,0
990,3847,4.6
991,3850,6
992,3851,6.33
993,3859,5.12
994,3867,7
995,3871,3.33
996,3874,5
997,3876,5
998,3880,3.67
999,3886,0
1000,3887,3.9
1001,3892,5.25
1002,3894,11.11
1003,3897,5.38
1004,3900,4.2
1005,3904,3.43
1006,3905,11.33
1007,3906,2.5
1008,3908,5.8
1009,3912,7.62
1010,3917,3.27
1011,3922,8.89
1012,3942,0
1013,3943,3.36
1014,3946,0
1015,3947,3.6
1016,3950,0
1017,3951,3.6
1018,3953,11.44
1019,3961,2.83
1020,3969,0
1021,3983,7
1022,3991,0
1023,3996,8.6
1024,3998,3.73
1025,4003,0
1026,4013,0
1027,4026,4.09
1028,4032,7
1029,4033,8.57
1030,4037,2.5
1031,4040,1
1032,4041,2.71
1033,4042,6.2
1034,4045,4.2
1035,4047,10.33
1036,4048,5.27
1037,4057,5
1038,4058,5.75
1039,4061,0
1040,4062,5.43
1041,4065,5.1
1042,4070,7
1043,4071,5.25
1044,4072,5.25
1045,4077,4.2
1046,4079,8.18
1047,4082,8
1048,4083,3.92
1049,4086,2
1050,4087,5.14
1051,4089,3.88
1052,4091,4.25
1053,4092,0
1054,4094,12
1055,4104,6.33
1056,4108,0
1057,4114,0
1058,4116,1.5
1059,4119,5.17
1060,4125,0
1061,4127,0
1062,4130,6.4
1063,4139,4.57
1064,4141,18
1065,4143,2.93
1066,4145,7.4
1067,4148,8.92
1068,4152,4.29
1069,4163,5.4
1070,4165,4.89
1071,4170,0
1072,4177,7.86
1073,4178,0
1074,4181,0
1075,4182,4.33
1076,4184,5
1077,4185,3.33
1078,4187,9
1079,4188,4.35
1080,4189,4.4
1081,4193,9.71
1082,4200,3.33
1083,4204,5.33
1084,4207,7.17
1085,4208,4.6
1086,4209,2.33
1087,4215,3.5
1088,4218,0
1089,4231,6.91
1090,4236,7.06
1091,4245,4.88
1092,4247,2.93
1093,4251,3.47
1094,4253,4.8
1095,4257,2.8
1096,4260,3.5
1097,4262,0
1098,4264,6.2
1099,4265,0
1100,4266,0
1101,4269,0
1102,4271,0
1103,4272,0
1104,4273,3.43
1105,4274,4.18
1106,4275,4.1
1107,4278,0
1108,4279,3.67
1109,4286,5
1110,4287,5.62
1111,4288,0
1112,4292,0
1113,4294,0
1114,4305,10.33
1115,4310,2.19
1116,4312,5.67
1117,4317,0
1118,4320,4
1119,4329,0
1120,4334,0
1121,4335,6.33
1122,4340,3.5
1123,4341,2.83
1124,4345,3.75
1125,4346,7
1126,4347,19.75
1127,4348,7.33
1128,4350,12
1129,4351,3.85
1130,4352,4.59
1131,4355,4.83
1132,4356,0
1133,4359,17.25
1134,4364,3.29
1135,4365,2
1136,4366,2.33
1137,4368,0
1138,4369,3.8
1139,4378,7.33
1140,4379,3.38
1141,4380,3.43
1142,4381,5
1143,4405,0
1144,4408,12.67
1145,4409,6.4
1146,4417,6.25
1147,4418,3.17
1148,4422,0
1149,4430,0
1150,4432,4.33
1151,4434,0
1152,4441,2.67
1153,4446,5.33
1154,4459,4.25
1155,4463,0
1156,4465,3.8
1157,4469,2.5
1158,4470,2.8
1159,4471,0
1160,4480,0
1161,4484,6.67
1162,4500,2.88
1163,4503,9.33
1164,4507,7.7
1165,4508,5
1166,4513,0
1167,4519,4.82
1168,4524,3.13
1169,4526,8.55
1170,4527,3.85
1171,4528,0
1172,4536,7
1173,4539,4.25
1174,4545,4
1175,4546,0
1176,4547,0
1177,4552,0
1178,4553,3.38
1179,4554,7.6
1180,4556,0
1181,4569,0
1182,4577,3
1183,4582,0
1184,4583,5.67
1185,4584,3.85
1186,4592,7.57
1187,4597,15
1188,4600,4.35
1189,4602,11.4
1190,4615,9.5
1191,4623,2.43
1192,4625,2.62
1193,4626,2.55
1194,4628,4.33
1195,4636,2
1196,4641,7.89
1197,4645,4.75
1198,4652,2
1199,4653,4.08
1200,4661,5.56
1201,4665,5.61
1202,4667,3.2
1203,4671,5.2
1204,4672,3.08
1205,4675,2
1206,4676,0
1207,4678,4.92
1208,4680,0
1209,4681,0
1210,4686,4.42
1211,4688,5.36
1212,4691,6.33
1213,4695,5.5
1214,4697,2.8
1215,4702,4.83
1216,4707,0
1217,4708,6
1218,4710,3.22
1219,4713,2.43
1220,4716,3.67
1221,4719,3.38
1222,4721,3.33
1223,4744,3.33
1224,4755,12.45
1225,4757,4
1226,4761,9.4
1227,4769,5.6
1228,4773,2.75
1229,4790,6.6
1230,4798,9
1231,4806,0
1232,4808,0
1233,4809,11.2
1234,4813,6.33
1235,4824,0
1236,4828,0
1237,4840,4
1238,4844,10.18
1239,4850,4
1240,4856,0
1241,4859,0
1242,4868,0
1243,4870,3.5
1244,4872,3.6
1245,4873,3
1246,4874,0
1247,4879,3
1248,4881,5.1
1249,4886,5.88
1250,4893,8.07
1251,4896,7
1252,4908,6.5
1253,4910,10.4
1254,4911,0
1255,4912,4.4
1256,4916,1
1257,4917,0
1258,4918,5
1259,4920,0
1260,4928,10.65
1261,4929,4.4
1262,4930,14.33
1263,4931,9.08
1264,4932,14
1265,4933,7.76
1266,4935,4.2
1267,4941,5.67
1268,4943,6.6
1269,4945,0
1270,4947,0
1271,4951,9
1272,4963,10.2
1273,4964,5.75
1274,4966,3.33
1275,4967,0
1276,4969,8.31
1277,4971,2
1278,4973,0
1279,4987,16
1280,4995,3.44
1281,4998,0
1282,5007,0
1283,5008,7.4
1284,5014,0
1285,5026,8.83
1286,5027,0
1287,5030,2
1288,5037,2.67
1289,5038,3.8
1290,5039,3.17
1291,5044,12
1292,5047,3.21
1293,5051,2.67
1294,5071,16.33
1295,5084,20
1296,5097,0
1297,5099,0
1298,5102,7.86
1299,5103,3.33
1300,5106,6
1301,5113,2
1302,5117,0
1303,5121,8.38
1304,5122,5.6
1305,5124,0
1306,5127,4.33
1307,5136,0
1308,5137,11.71
1309,5138,0
1310,5140,8
1311,5147,5.92
1312,5149,4
1313,5152,11.5
1314,5155,6.27
1315,5158,4.88
1316,5159,2.64
1317,5160,4.5
1318,5163,1.4
1319,5165,5.8
1320,5167,3.86
1321,5171,8.75
1322,5178,3.75
1323,5179,14.5
